Build Tier,Category,Part Choice,Cost
BUDGET BUILD ($450-600),,,
,Motor,Newport NV-55 12V Trolling Motor,$170
,ESC,WPHMOTO Controller,$35
,Steering,FEETECH FT6335M 360° Servo,$30
,Slip Ring,Taidacent 6-Wire,$15
,Mount,Bow Mount Bracket,$30
,Controller,ESP32 Dev Board,$10
,GPS,BN-880 GPS + Compass Combo,$15
,IMU,MPU6050 GY-521 (budget),$3
,Wind Sensor,Mechanical Anemometer Kit,$35
,Sonar,JSN-SR04T Waterproof,$8
,Water Temp,DS18B20 Probe + Resistor,$5
,Camera,SKIP - add later,$0
,Battery,12V Marine Deep Cycle (own or buy),$100
,Power Reg,Buck Converter 12V to 5V,$8
,Safety,Fuse + Kill Switch + E-Stop,$30
,Wiring,8AWG Marine Wire + Connectors,$35
,Enclosure,IP67 Box + Cable Glands,$25
,Misc,Buzzer + Wires + Breadboard,$15
,BUDGET TOTAL,,$560
,,,
MID-RANGE BUILD ($800-1100),,,
,Motor,Newport NV-55 12V Trolling Motor,$170
,ESC,WPHMOTO Controller,$35
,Steering,DFRobot 35KG 360° Encoder Servo,$50
,Slip Ring,Taidacent 6-Wire,$15
,Mount,Bow Mount Quick Release,$40
,Controller,ESP32 Dev Board,$10
,GPS,u-blox NEO-M9N (better accuracy),$45
,IMU,Adafruit BNO055 (compass + full 9-DOF),$32
,Wind Sensor,Renke Ultrasonic Anemometer,$90
,RS485 Adapter,MAX485 Module,$4
,Sonar,JSN-SR04T Waterproof,$8
,Water Temp,DS18B20 Probe + Resistor,$5
,Camera,RPi Zero 2W + Camera v3 + SD Card,$60
,Battery,12V 100Ah LiFePO4 Generic,$250
,Power Reg,Buck Converter Waterproof,$12
,Safety,Fuse + Kill Switch + E-Stop,$30
,Wiring,8AWG Marine Wire + Connectors,$35
,Enclosure,2x IP67 Boxes + Cable Glands + Conformal Coat,$50
,Misc,Buzzer + Wires + Protoboard + PVC Mast,$25
,MID-RANGE TOTAL,,$966
,,,
FULL BUILD ($1200-1600),,,
,Motor,Newport NV-55 12V Trolling Motor,$170
,ESC,WPHMOTO Controller,$35
,Steering,DFRobot 35KG 360° Encoder Servo,$50
,Slip Ring,Taidacent 6-Wire,$15
,Mount,Minn Kota Quick Release Bracket,$65
,Controller,ESP32 Dev Board,$10
,GPS,u-blox ZED-F9P RTK (centimeter accuracy),$200
,IMU,Adafruit BNO055,$32
,Wind Sensor,Renke Ultrasonic Anemometer,$90
,RS485 Adapter,MAX485 Module,$4
,Sonar,JSN-SR04T Waterproof,$8
,Water Temp,DS18B20 Probe + Resistor,$5
,Camera,RPi Zero 2W + Camera v3 Wide + SD Card,$60
,ML Accelerator,Google Coral USB TPU,$60
,Battery,Dakota Lithium 12V 100Ah LiFePO4,$649
,Power Reg,Buck Converter Waterproof,$12
,Safety,Fuse + Kill Switch + E-Stop,$30
,Wiring,8AWG Marine Wire + Connectors + Heat Shrink,$45
,Enclosure,2x IP67 Boxes + Cable Glands + Conformal Coat,$50
,Misc,Buzzer + Wires + Protoboard + PVC Mast,$25
,FULL BUILD TOTAL,,$1615
